entry_at,field1,field2
2022-07-12 08:50:25,57.35,22.72
2022-07-12 08:51:45,56,22.21
2022-07-12 08:53:05,56.93,21.97
2022-07-12 08:54:25,57.57,21.39
2022-07-12 08:55:45,58.04,21.23
2022-07-12 08:57:05,58.24,21.09
2022-07-12 08:58:25,57.51,20.84
2022-07-12 08:59:45,57.65,20.71
2022-07-12 09:01:05,58.34,20.5
2022-07-12 09:02:25,58.77,20.42
2022-07-12 09:03:45,59.29,20.34
2022-07-12 09:05:05,58.97,20.26
2022-07-12 09:06:25,59.02,20.19
2022-07-12 09:07:45,59.07,20.1
2022-07-12 09:09:05,59.3,20.03
2022-07-12 09:10:25,59.93,19.89
2022-07-12 09:11:45,59.92,19.73
2022-07-12 09:13:05,60.22,19.68
2022-07-12 09:14:25,60.76,19.61
2022-07-12 09:15:45,60.66,19.51
2022-07-12 09:17:05,60.32,19.45
2022-07-12 09:18:25,60.16,19.43
2022-07-12 09:19:45,60.39,19.37
2022-07-12 09:21:05,61.65,19.34
2022-07-12 09:22:25,61.25,19.33
2022-07-12 09:23:45,62.14,19.27
2022-07-12 09:25:05,61.8,19.24
2022-07-12 09:26:25,61.82,19.16
2022-07-12 09:27:45,61.79,19.13
2022-07-12 09:29:05,62.4,19.14
2022-07-12 09:30:25,62.66,19.11
2022-07-12 09:31:45,62.15,19.1
2022-07-12 09:33:05,62.41,19.11
2022-07-12 09:34:25,62.77,19.09
2022-07-12 09:35:45,62.79,19.08
2022-07-12 09:37:05,63.05,19.08
2022-07-12 09:38:25,62.54,19.12
2022-07-12 09:39:45,63.03,19.11
2022-07-12 09:41:05,63.56,19.08
2022-07-12 09:42:25,63.9,19.09
2022-07-12 09:43:45,63.54,19.04
2022-07-12 09:45:05,64.06,19.01
2022-07-12 09:46:25,64.23,19.01
2022-07-12 09:47:45,63.74,19
2022-07-12 09:49:05,63.65,19
2022-07-12 09:50:25,62.61,19.13
2022-07-12 09:51:45,63.96,19.19
2022-07-12 09:53:05,63.23,19.16
2022-07-12 09:54:25,63.04,19.16
2022-07-12 09:55:45,62.95,19.24
2022-07-12 09:57:05,63.91,19.25
2022-07-12 09:58:25,63.46,19.27
2022-07-12 09:59:45,62.97,19.25
2022-07-12 10:01:05,62.85,19.25
2022-07-12 10:02:25,63.48,19.23
2022-07-12 10:03:45,63.71,19.25
2022-07-12 10:05:05,63.97,19.21
2022-07-12 10:06:25,63.19,19.24
2022-07-12 10:07:45,61.7,19.24
2022-07-12 10:09:05,62.28,19.27
2022-07-12 10:10:25,62.23,19.27
2022-07-12 10:11:45,62.51,19.27
2022-07-12 10:13:05,63.04,19.26
2022-07-12 10:14:25,62.62,19.27
2022-07-12 10:15:45,61.32,19.28
2022-07-12 10:17:05,61.69,19.28
2022-07-12 10:18:25,62.05,19.27
2022-07-12 10:19:45,62.68,19.27
2022-07-12 10:21:05,61.78,19.22
2022-07-12 10:22:25,62.74,19.21
2022-07-12 10:23:45,63.14,19.19
2022-07-12 10:25:05,63.58,19.19
2022-07-12 10:26:25,63.65,19.16
2022-07-12 10:27:45,64.52,19.19
2022-07-12 10:29:05,64.35,19.2
2022-07-12 10:30:25,64.34,19.21
2022-07-12 10:31:45,64.16,19.22
2022-07-12 10:33:05,62.58,19.29
2022-07-12 10:34:25,62.87,19.36
2022-07-12 10:35:45,63.49,19.34
2022-07-12 10:37:05,64.4,19.36
2022-07-12 10:38:25,60.2,19.48
2022-07-12 10:39:45,61.16,19.57
2022-07-12 10:41:05,61.67,19.63
2022-07-12 10:42:25,62.35,19.82
2022-07-12 10:43:45,60.68,20.8
2022-07-12 10:45:05,60.75,21.37
2022-07-12 10:46:25,60.9,22.15
2022-07-12 10:47:45,59.08,22.46
2022-07-12 10:49:05,57.33,22.53
2022-07-12 10:50:25,56.05,22.8
2022-07-12 10:51:45,57.68,23.44
2022-07-12 10:53:05,57.14,24.52
2022-07-12 10:54:25,54.36,25.43
2022-07-12 10:55:45,55.73,26.2
2022-07-12 10:57:05,55.46,26.77
2022-07-12 10:58:25,54.56,27.56
2022-07-12 10:59:45,52.68,29.04
2022-07-12 11:01:05,51.87,29.67
2022-07-12 11:02:25,50.23,30.23
2022-07-12 11:03:45,47.71,30.74
2022-07-12 11:05:05,44.96,31.07
2022-07-12 11:06:25,41.19,31.28
2022-07-12 11:07:45,42.91,31.72
2022-07-12 11:09:05,45.85,32.12
2022-07-12 11:10:25,41.27,32.44
2022-07-12 11:11:45,38.62,32.69
2022-07-12 11:13:05,45.87,33.66
2022-07-12 11:14:25,42.21,34.57
2022-07-12 11:15:45,39.06,34.75
2022-07-12 11:17:05,38.43,35.03
2022-07-12 11:18:25,39.47,35.22
2022-07-12 11:19:45,41.41,35.38
2022-07-12 11:21:05,41.34,35.6
2022-07-12 11:22:25,40.18,35.71
2022-07-12 11:23:45,36.2,35.77
2022-07-12 11:25:05,38.29,35.89
2022-07-12 11:26:25,37.01,35.99
2022-07-12 11:27:45,36.98,36.09
2022-07-12 11:29:05,36.73,36.08
2022-07-12 11:30:25,38.68,36.24
2022-07-12 11:31:45,35.99,36.39
2022-07-12 11:33:05,36.89,36.59
2022-07-12 11:34:25,38.86,37.56
2022-07-12 11:35:45,36.07,37.93
2022-07-12 11:37:05,35.38,38.35
2022-07-12 11:38:25,34.47,38.39
2022-07-12 11:39:45,35.61,38.48
2022-07-12 11:41:05,35.17,38.56
2022-07-12 11:42:25,34.7,38.6
2022-07-12 11:43:45,32.66,39.24
2022-07-12 11:45:05,37.29,38.9
2022-07-12 11:46:25,33.17,38.43
2022-07-12 11:47:45,33.43,37.79
2022-07-12 11:49:05,36.08,37.7
2022-07-12 11:50:25,35.54,37.72
2022-07-12 11:51:45,34.66,37.66
2022-07-12 11:53:05,36.75,37.73
2022-07-12 11:54:25,35.45,37.86
2022-07-12 11:55:45,38.44,38
2022-07-12 11:57:05,39.07,38.1
2022-07-12 11:58:25,33.31,38.1
2022-07-12 11:59:45,38.87,38.26
2022-07-12 12:01:05,37.21,38.42
2022-07-12 12:02:25,33.19,38.37
2022-07-12 12:03:45,35.05,38.38
2022-07-12 12:05:05,34.02,38.3
2022-07-12 12:06:25,33.48,38.27
2022-07-12 12:07:45,34.77,38.18
2022-07-12 12:09:05,37.87,38.14
2022-07-12 12:10:25,37.51,38.11
2022-07-12 12:11:45,33.92,37.93
2022-07-12 12:13:05,33.5,37.67
2022-07-12 12:14:25,36.09,37.69
2022-07-12 12:15:45,34.02,37.45
2022-07-12 12:17:05,34.4,37.34
2022-07-12 12:18:25,35.29,37.17
2022-07-12 12:19:45,34.37,37.17
2022-07-12 12:21:05,34.37,37
2022-07-12 12:22:25,33.71,37.03
2022-07-12 12:23:45,34.29,36.89
2022-07-12 12:25:05,35.05,36.92
2022-07-12 12:26:25,35.19,37.07
2022-07-12 12:27:45,36.93,37.24
2022-07-12 12:29:05,35.08,37.27
2022-07-12 12:30:25,35.57,37.35
2022-07-12 12:31:45,36.64,37.37
2022-07-12 12:33:05,36.48,37.42
2022-07-12 12:34:25,36.75,37.52
2022-07-12 12:35:45,34.63,37.88
2022-07-12 12:37:05,36.53,37.88
2022-07-12 12:38:25,35.69,37.88
2022-07-12 12:39:45,36.63,37.97
2022-07-12 12:41:05,34.77,37.88
2022-07-12 12:42:25,36.1,37.84
2022-07-12 12:43:45,33.59,37.64
2022-07-12 12:45:05,34.85,37.54
2022-07-12 12:46:25,36.01,37.57
2022-07-12 12:47:45,35.17,37.63
2022-07-12 12:49:05,34.28,37.61
2022-07-12 12:50:25,34.06,37.39
2022-07-12 12:51:45,36.21,37.44
2022-07-12 12:53:05,35.29,37.44
2022-07-12 12:54:25,34.06,37.48
2022-07-12 12:55:45,34.63,37.33
2022-07-12 12:57:05,34.54,36.98
2022-07-12 12:58:25,34.5,36.51
2022-07-12 12:59:45,34.51,36.22
2022-07-12 13:01:05,34.65,36.02
2022-07-12 13:02:25,36.15,36.09
2022-07-12 13:03:45,34.63,35.94
2022-07-12 13:05:05,35.19,36.15
2022-07-12 13:06:25,35.02,35.85
2022-07-12 13:07:45,36.75,36.27
2022-07-12 13:09:05,35.27,36.63
2022-07-12 13:10:25,36.53,36.63
2022-07-12 13:11:45,34.4,36.37
2022-07-12 13:13:05,35.01,36.17
2022-07-12 13:14:25,35.56,35.65
2022-07-12 13:15:45,36.84,35.71
2022-07-12 13:17:05,36.92,36.19
2022-07-12 13:18:25,35.06,36.27
2022-07-12 13:19:45,38.41,37.25
2022-07-12 13:21:05,34.2,37.35
