entry_at,field1,field2
2022-07-12 08:50:05,60.19,22.66
2022-07-12 08:51:05,60.68,22.43
2022-07-12 08:52:05,60.83,22.2
2022-07-12 08:53:05,60.8,21.96
2022-07-12 08:54:05,60.4,21.7
2022-07-12 08:55:05,61.22,21.52
2022-07-12 08:56:05,62.05,21.31
2022-07-12 08:57:05,62.36,21.15
2022-07-12 08:58:05,62.83,20.98
2022-07-12 08:59:05,63.15,20.83
2022-07-12 09:00:05,63.02,20.7
2022-07-12 09:01:05,63.22,20.55
2022-07-12 09:02:05,63.21,20.44
2022-07-12 09:03:05,63.08,20.31
2022-07-12 09:04:05,62.56,20.17
2022-07-12 09:05:05,63.04,20.07
2022-07-12 09:06:05,63.48,19.97
2022-07-12 09:07:05,63.04,19.9
2022-07-12 09:08:05,64.29,19.73
2022-07-12 09:09:05,63.52,19.63
2022-07-12 09:10:05,64.27,19.5
2022-07-12 09:11:05,64.65,19.28
2022-07-12 09:12:05,65.02,19.24
2022-07-12 09:13:05,66.19,19.17
2022-07-12 09:14:05,66.45,19.13
2022-07-12 09:15:05,65.29,19.07
2022-07-12 09:16:05,65.57,18.97
2022-07-12 09:17:05,66.14,18.9
2022-07-12 09:18:05,65.93,18.87
2022-07-12 09:19:05,67.14,18.82
2022-07-12 09:20:05,66.81,18.76
2022-07-12 09:21:05,65.66,18.67
2022-07-12 09:22:05,67.21,18.59
2022-07-12 09:23:05,67.38,18.57
2022-07-12 09:24:05,68.01,18.54
2022-07-12 09:25:05,67.3,18.49
2022-07-12 09:26:05,66.92,18.51
2022-07-12 09:27:05,67.3,18.46
2022-07-12 09:28:05,66.82,18.42
2022-07-12 09:29:05,66.83,18.38
2022-07-12 09:30:05,68.03,18.38
2022-07-12 09:31:05,67.62,18.37
2022-07-12 09:32:05,67.91,18.36
2022-07-12 09:33:05,67.77,18.34
2022-07-12 09:34:05,67.83,18.33
2022-07-12 09:35:05,68.4,18.32
2022-07-12 09:36:05,68.46,18.31
2022-07-12 09:37:05,68.56,18.31
2022-07-12 09:38:05,69.03,18.28
2022-07-12 09:39:05,68.91,18.25
2022-07-12 09:40:05,68.38,18.26
2022-07-12 09:41:05,68.59,18.25
2022-07-12 09:42:05,68.07,18.24
2022-07-12 09:43:05,68.44,18.22
2022-07-12 09:44:05,68.84,18.22
2022-07-12 09:45:05,68.78,18.22
2022-07-12 09:46:05,68.78,18.21
2022-07-12 09:47:05,68.75,18.23
2022-07-12 09:48:05,69.3,18.23
2022-07-12 09:49:05,69.37,18.21
2022-07-12 09:50:05,68.65,18.19
2022-07-12 09:51:05,68.74,18.2
2022-07-12 09:52:05,69.31,18.2
2022-07-12 09:53:05,69.28,18.21
2022-07-12 09:54:05,70.18,18.19
2022-07-12 09:55:05,69.95,18.21
2022-07-12 09:56:05,69.76,18.21
2022-07-12 09:57:05,69.66,18.22
2022-07-12 09:58:05,69.31,18.24
2022-07-12 09:59:05,68.95,18.22
2022-07-12 10:00:05,69.65,18.26
2022-07-12 10:01:05,69.33,18.23
2022-07-12 10:02:05,69.76,18.26
2022-07-12 10:03:05,69.59,18.25
2022-07-12 10:04:05,69.93,18.24
2022-07-12 10:05:05,69.45,18.25
2022-07-12 10:06:05,69.81,18.23
2022-07-12 10:07:05,69.1,18.25
2022-07-12 10:08:05,69.73,18.24
2022-07-12 10:09:05,69.54,18.25
2022-07-12 10:10:05,70.33,18.25
2022-07-12 10:11:05,70.82,18.25
2022-07-12 10:12:05,70.74,18.25
2022-07-12 10:13:05,70.28,18.25
2022-07-12 10:14:05,69.48,18.29
2022-07-12 10:15:05,69.45,18.29
2022-07-12 10:16:05,67.98,18.37
2022-07-12 10:17:05,68.36,18.39
2022-07-12 10:18:05,67.25,18.39
2022-07-12 10:19:05,63.63,18.43
2022-07-12 10:20:05,65.91,18.45
2022-07-12 10:21:05,67.15,18.48
2022-07-12 10:22:05,66.69,18.48
2022-07-12 10:23:05,66.62,18.49
2022-07-12 10:24:05,67.19,18.5
2022-07-12 10:25:05,67.14,18.51
2022-07-12 10:26:05,67.39,18.5
2022-07-12 10:27:05,67.2,18.49
2022-07-12 10:28:05,67.39,18.49
2022-07-12 10:29:05,67.35,18.5
